course_id,subject_id,is_open,credit,course_name
10052,1,,3,약과건강
11102,1,,3,"에너지의이해,이용,실천"
11257,1,,3,에피소드로보는과학철학
10910,1,,3,위험판단심리학
10104,1,,3,응용통계입문
11336,1,,3,인공지능과인간
11261,1,,3,인공지능시대의정보산업이해
10559,1,,3,인류문명과환경과학
11156,1,,3,"자연과의대화,환경생태"
11096,1,,3,정보화사회와통계
10135,1,,3,지구의역사
11042,1,,3,컴퓨터와마음
11152,1,,3,콘텐츠컴퓨팅
11145,1,,3,크리에이티브컴퓨팅
10164,1,,3,현대물리학과인간사고의변혁
11157,1,,3,환경재난과국제협력
11262,1,,3,생활속의미생물
11264,1,,3,세계의자연유산과지오투어리즘
11043,1,,3,현대사회의기록과정보
11419,1,,3,기업가정신과기술사업화기획
11187,1,,3,빅데이터사회와정보활용
11098,1,,3,주거로보는건축문화
      #융복합교양(예술과표현),1,,,[1과목 3학점 이수]
11107,1,,3,21세기의예술과인간
11164,1,,3,Contemporary Photography
10033,1,,3,동양미술의이해
10778,1,,3,디지털매체와예술
10576,1,,3,무용의이해
11153,1,,3,문화콘텐츠기획의이해
11328,1,,3,미술로치유하는마음
11083,1,,3,미학과미술
10072,1,,3,서양미술의이해
10073,1,,3,서양음악의이해
11084,1,,3,시각문화로서미술작품읽기
11209,1,,3,시각적사고를통한일상의문화와트랜드
10090,1,,3,여성과예술
11113,1,,3,여성의몸과창조적움직임
10097,1,,3,연극의이론과실제
11110,1,,3,예술가와그의시대
10100,1,,3,예술과사상
11055,1,,3,옛시와그림의만남
11265,1,,3,음악과건강
11075,1,,3,창조와상상의기술
11035,1,,3,"퍼포먼스인문학: 제의,놀이,연극"
10892,1,,3,"표현,예술,그리고시대정신"
10152,1,,3,한국미술의이해
11333,1,,3,"한국사와상상력,스토리텔링"
10883,1,,3,한국의문화공간과예술
10165,1,,3,현대미술사
11330,1,,3,Reading American Popular Culture in the Digital Age
10018,1,,3,국악의이해
11329,1,,3,색채의이해
11263,1,,3,예술과기술
11116,1,,3,Introduction to World Music and Culture
35339,1,,3,객체지향프로그래밍
20479,1,,3,이산수학
35914,1,,3,JAVA프로그래밍및실습
38758,1,,1,SW리더십과기업가정신세미나
20410,1,,1,일반물리학실험I
20413,1,,3,일반생물학I
20416,1,,3,일반화학I
30002,1,,3,일반물리학II
20412,1,,3,일반생물학
20415,1,,3,일반화학
30001,1,(재)의학물리학(34112),3,일반물리학
20409,1,,3,일반물리학I
36339,1,,3,컴퓨터프로그래밍및실습
38407,1,,3,C프로그래밍및실습
20406,1,,3,미분적분학
20407,1,,3,미분적분학I
20642,1,,3,수치해석
36341,1,,3,공학수학
20441,1,,3,선형대수학I
20454,1,,3,정수론
36503,1,,3,소프트웨어융합창의설계
20481,1,,3,자료구조
20493,1,,3,컴퓨터구조
20477,1,,3,운영체제
34743,1,,3,정보통신공학
20472,1,,3,소프트웨어공학
36500,1,,3,디지털논리설계
36502,1,,1,디지털논리실험
30226,1,,3,오토마타및형식언어
38425,1,,3,시스템SW및실습
38426,1,,3,오픈SW플랫폼
37271,1,,3,임베디드시스템및실험
37082,1,,2,SW산학실무설계I
37083,1,,3,SW산학실무설계II
37084,1,,4,SW산학실무설계III
39131,1,,9,SW산학실무설계IV
20471,1,,3,데이터베이스
37269,1,,3,오픈SW프로젝트
20497,1,,3,컴퓨터알고리즘
35913,1,,3,인간컴퓨터상호작용
36506,1,,3,캡스톤디자인과창업프로젝트A
20494,1,,3,컴퓨터그래픽스
20495,1,,3,컴퓨터네트워크
36510,1,,3,가상현실
38427,1,,3,스마트SW시스템설계I
20480,1,,3,인공지능
36507,1,,3,캡스톤디자인프로젝트B
34811,1,,3,컴파일러
38428,1,,3,기계학습
36511,1,,3,빅데이터응용
38429,1,,3,스마트SW시스템설계II
38759,1,(재)프로그래밍언어론(20499),3,자연언어처리
37270,1,,3,클라우드컴퓨팅
37407,1,,1,SW자가학습I
37408,1,,1,SW자가학습II
37409,1,,1,SW자가학습III
37410,1,,1,SW자가학습Ⅳ
37411,1,,1,SW자가학습Ⅴ
38430,1,,1,SW특별교육I
38431,1,,1,SW특별교육II
38432,1,,1,SW특별교육III
38433,1,,1,SW특별교육IV
38434,1,,1,SW특별교육V
38363,1,,1,컴퓨터공학글로벌필드트레이닝I
38364,1,,1,컴퓨터공학글로벌필드트레이닝II
38365,1,,1,컴퓨터공학글로벌필드트레이닝III
38666,1,,2,컴퓨터공학단기인턴십Ⅳ
38360,1,,3,컴퓨터공학중기인턴십I
38361,1,,3,컴퓨터공학중기인턴십II
38362,1,,3,컴퓨터공학중기인턴십III
37455,1,,1,해외재능기부현장실습
38082,1,,3,SW자기설계학습I
38083,1,,3,SW자기설계학습II
39190,1,,3,SW창업실무설계
37404,1,,1,컴퓨터공학단기인턴십I
37405,1,,1,컴퓨터공학단기인턴십II
37406,1,,1,컴퓨터공학단기인턴십III
38473,1,(타),3,사이버보안개론
38475,1,(타),3,현대암호기초
38487,1,(타),3,블록체인응용
38480,1,(타),3,정보시스템보안
38483,1,(타),3,네트워크보안
38653,1,(타),2,글로벌공학교육실습
37842,1,(타),3,"캄보디아교육,환경,문화의이해"
G14347,1,,3,데이터베이스시스템특론
G14336,1,,3,운영체제특론
G14334,1,,3,컴퓨터구조특론
G16159,1,,3,로보틱스개론
G14554,1,,3,바이오인포매틱스알고리즘
G17245,1,,3,빅데이터플랫폼
G17617,1,,3,컴퓨터비전특론
