,course_id,subject_id,credit,course_name
174,11262,1,3,생활속의미생물
175,11264,1,3,세계의자연유산과지오투어리즘
176,11043,1,3,현대사회의기록과정보
177,11419,1,3,기업가정신과기술사업화기획
178,11187,1,3,빅데이터사회와정보활용
179,11098,1,3,주거로보는건축문화
180,      #융복합교양(예술과표현),1,,[1과목 3학점 이수]
181,11107,1,3,21세기의예술과인간
182,11164,1,3,Contemporary Photography
183,10033,1,3,동양미술의이해
184,10778,1,3,디지털매체와예술
185,10576,1,3,무용의이해
186,11153,1,3,문화콘텐츠기획의이해
187,11328,1,3,미술로치유하는마음
188,11083,1,3,미학과미술
189,10072,1,3,서양미술의이해
190,10073,1,3,서양음악의이해
191,11084,1,3,시각문화로서미술작품읽기
192,11209,1,3,시각적사고를통한일상의문화와트랜드
193,10090,1,3,여성과예술
194,11113,1,3,여성의몸과창조적움직임
195,10097,1,3,연극의이론과실제
196,11110,1,3,예술가와그의시대
197,10100,1,3,예술과사상
198,11055,1,3,옛시와그림의만남
199,11265,1,3,음악과건강
200,11075,1,3,창조와상상의기술
201,11035,1,3,"퍼포먼스인문학: 제의,놀이,연극"
202,10892,1,3,"표현,예술,그리고시대정신"
203,10152,1,3,한국미술의이해
204,11333,1,3,"한국사와상상력,스토리텔링"
205,10883,1,3,한국의문화공간과예술
206,10165,1,3,현대미술사
207,11330,1,3,Reading American Popular Culture in the Digital Age
208,10018,1,3,국악의이해
209,11329,1,3,색채의이해
210,11263,1,3,예술과기술
211,11116,1,3,Introduction to World Music and Culture
212,11135,1,3,사물과예술
213,   -큐브,1,,[3영역 9학점 이수]
214,      #큐브(인문학),1,,[1과목 3학점 이수]
215,11111,1,3,SF영화로배우는철학
216,10769,1,3,모던/포스트모던문화읽기
217,11147,1,3,사이언스픽션의이해
218,10573,1,3,생명윤리와법
219,11284,1,3,스크린에투영된테크노컬처와젠더
220,10081,1,3,시민생활과법
221,10768,1,3,신화·상상력·문화
222,10772,1,3,여성과사회정의
223,11103,1,3,인터넷과법
224,11156,1,3,"자연과의대화,환경생태"
225,10123,1,3,정보사회와인터넷윤리
226,11057,1,3,주제로살펴보는서양사
227,11075,1,3,창조와상상의기술
228,11042,1,3,컴퓨터와마음
229,11045,1,3,패러다임전환과비판이론
230,10892,1,3,"표현,예술,그리고시대정신"
231,10164,1,3,현대물리학과인간사고의변혁
232,10181,1,3,환경과인간
233,11283,1,3,역사속의과학과기술
234,      #큐브(콘텐츠),1,,[1과목 3학점 이수]
235,11164,1,3,Contemporary Photography
236,11101,1,3,과학문화와커뮤니케이션
237,10949,1,3,국제구호와개발협력
238,10913,1,3,글로벌시대의다문화사회
239,10776,1,3,글로벌시민을위한과학소양
240,11154,1,3,사물인터넷개론
241,10908,1,3,영상이미지와젠더
242,10559,1,3,인류문명과환경과학
243,11160,1,3,정보기술과미래사회
244,10135,1,3,지구의역사
245,10950,1,3,디지털스토리텔링의이해
246,11285,1,3,미디어테크놀로지＆엔터테인먼트산업
247,11106,1,3,글로벌시민의이해와리더십
248,11288,1,3,디지털게임스토리텔링
249,11187,1,3,빅데이터사회와정보활용
250,11286,1,3,스타트업브랜드커뮤니케이션
251,11287,1,3,인터랙티브미디어심리학
252,      #큐브(디자인),1,,[1과목 3학점 이수]
253,11107,1,3,21세기의예술과인간
254,10778,1,3,디지털매체와예술
255,11083,1,3,미학과미술
256,10072,1,3,서양미술의이해
257,10090,1,3,여성과예술
258,10165,1,3,현대미술사
259,11289,1,3,메이커시대의디자인씽킹
260,11135,1,3,사물과예술
261,11291,1,3,사용자경험과인간중심디자인
265,38411,1,3,자바객체지향프로그래밍및실습
266,20410,1,1,일반물리학실험I
267,20441,1,3,선형대수학I
268,34980,1,3,확률및통계학
269,35339,1,3,객체지향프로그래밍
270,20479,1,3,이산수학
271,20454,1,3,정수론
273,20413,1,3,일반생물학I
274,20416,1,3,일반화학I
275,30002,1,3,일반물리학II
276,20412,1,3,일반생물학
277,20415,1,3,일반화학
279,30001,1,3,일반물리학
280,20409,1,3,일반물리학I
282,38407,1,3,C프로그래밍및실습
283,36339,1,3,컴퓨터프로그래밍및실습
289,38474,1,3,리눅스실습프로젝트
290,38473,1,3,사이버보안개론
291,38475,1,3,현대암호기초
292,38480,1,3,정보시스템보안
293,38491,1,3,사이버보안종합설계프로젝트 I
295,38477,1,3,데이터구조
296,38485,1,3,웹보안및실습
297,38479,1,3,정보통신과컴퓨터네트워크
298,38501,1,2,사이버보안산학실무설계I
299,38502,1,3,사이버보안산학실무설계II
300,38503,1,4,사이버보안산학실무설계III
301,38482,1,3,기계학습과인공지능
302,38478,1,3,악성코드분석및실습프로젝트
303,38481,1,3,정보보호프로토콜
304,38476,1,3,컴퓨터시스템
305,38487,1,3,블록체인응용
306,38484,1,3,빅데이터보안
307,38486,1,3,시큐어코딩및실습프로젝트
308,38488,1,3,저작권보호와관리
309,38483,1,3,네트워크보안
310,38497,1,3,디지털포렌식스
311,38493,1,3,보안관제
312,38494,1,3,사이버법률과정책
313,38490,1,3,생체인증보안
314,38492,1,3,위험관리및침입탐지시스템
315,38499,1,3,모바일보안
316,38489,1,3,사이버물리시스템보안
317,38909,1,3,사이버보안종합설계프로젝트Ⅱ
318,38919,1,3,알고리즘과계산복잡도
319,38495,1,3,정보보호관리
320,38496,1,3,클라우드컴퓨팅보안
