,HSSU300203R(1971081),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Date :,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2022/10/09
0,,,,,,,,,,,,,,,Page :,,,,,1 of 7
1,2019학년도 교과과정안내,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,엘텍공과대학   학부/학과 : 소프트웨어학부   전공 : 사이버보안   출력구분 : 주전공,,,,,,,,,,,,,,,,,,,
5,졸업학점-신입,,졸업학점-편입,,졸업평균평점,,영어강의이수학점,,,인문학관련교양이수학점,,,,,,SW교과목이수학점,타과인정제한학점,,,심화전공설치여부
6,139,,69.5,,1.7,,18,,,8,,,,,,-,15,,,설치
7,,,,,,,,,,,,,,,,,,,,
8,구분,"영역명
(학수번호)
*:신설교과목",,교과목명,,,,"이수권장
학년","설정
학기",,시간,학점,"필수
여부","학사
편입생
제외여부",,개설학과,,"2022학년
2학기
개설여부",비고,
9,,,,,,,,,,,,,,,,,,,"(재):재수강인정과목
(선):선수과목
(타):타전공인정교과목",
140,,20441,,선형대수학I,,,,1,2,,4.5,3,필수,,,수학과,,Y,,
141,,34980,,확률및통계학,,,,1,2,,3,3,필수,,,통계학과,,Y,,
142,,20479,,이산수학,,,,2,1,,3,3,필수,,,컴퓨터공학,,,,
143,,20454,,정수론,,,,2,2,,3,3,필수,,,수학과,,Y,,
144,,   -전공기초(선택필1),,[1과목 3학점 이수],,,,,,,,,필수,,,,,,,
145,,20413,,일반생물학I,,,,1,1,,3,3,,,,생명,,,,
146,,20416,,일반화학I,,,,1,1,,3,3,,,,화학·나노과학,,,,
147,,30002,,일반물리학II,,,,1,2,,3,3,,,,물리학과,,Y,,
148,,20412,,일반생물학,,,,1,2,,3,3,,,,생명,,Y,,
149,,20415,,일반화학,,,,1,2,,3,3,,,,화학·나노과학,,Y,,
150,,   -전공기초(선택필1),,[1과목 3학점 이수],,,,,,,,,필수,,,,,,,
151,,30001,,일반물리학,,,,1,"1,2",,3,3,,,,물리학과,,Y,(재)의학물리학(34112),
152,,20409,,일반물리학I,,,,1,1,,3,3,,,,물리학과,,Y,,
153,,   -전공기초(선택필1),,[1과목 3학점 이수],,,,,,,,,필수,,,,,,,
154,,38407,,C프로그래밍및실습,,,,1,2,,3,3,,,,컴퓨터공학,,Y,,
155,,36339,,컴퓨터프로그래밍및실습,,,,1,2,,3,3,,,,컴퓨터공학,,Y,,
156,,   -전공기초(선택필1),,[1과목 3학점 이수],,,,,,,,,필수,,,,,,,
157,,20406,,미분적분학,,,,1,1,,3,3,,,,수학과,,Y,,
158,,20407,,미분적분학I,,,,1,1,,3,3,,,,수학과,,,,
159,,   -전공기초(선택),,[1과목 1학점 이수],,,,,,,,,,,,,,,,
160,,36340,,글로벌여성엔지니어와기업가정신,,,,3,1,,1,1,,,,컴퓨터공학,,,,
161,전공,[최소전공],,[심화전공:63학점/(복수)전공:51학점 이수,,,,,,,,,,,,,,,,
162,,   -전공필수,,[5과목 15학점 이수],,,,,,,,,필수,,,,,,,
163,,38473,,사이버보안개론,,,,2,1,,3,3,필수,,,사이버보안,,,,
164,,38474,,사이버보안기초프로젝트,,,,2,1,,4.5,3,필수,,,사이버보안,,,,
165,,38475,,현대암호기초,,,,2,2,,3,3,필수,,,사이버보안,,,,
166,,38480,,정보시스템보안,,,,3,1,,3,3,필수,,,사이버보안,,Y,,
167,,38491,,사이버보안종합설계프로젝트 I,,,,4,1,,4.5,3,필수,,,사이버보안,,,,
168,,   -전공선택,,,,,,,,,,,,,,,,,,
169,,38477,,데이터구조및실습,,,,2,2,,4.5,3,,,,사이버보안,,Y,,
170,,38478,,악성코드분석및실습프로젝트,,,,2,2,,4.5,3,,,,사이버보안,,,,
171,,38476,,컴퓨터시스템,,,,2,2,,3,3,,,,사이버보안,,,,
172,,38501,,사이버보안산학실무설계I,,,,3,"1,2",,,2,,,,사이버보안,,,,
173,,38502,,사이버보안산학실무설계II,,,,3,"1,2",,,3,,,,사이버보안,,,,
174,,38503,,사이버보안산학실무설계III,,,,3,"1,2",,,4,,,,사이버보안,,,,
175,,38482,,기계학습과인공지능,,,,3,1,,3,3,,,,사이버보안,,,,
176,,38481,,정보보호프로토콜,,,,3,1,,3,3,,,,사이버보안,,,,
177,,38479,,정보통신과컴퓨터네트워크,,,,3,1,,3,3,,,,사이버보안,,Y,,
178,,38487,,블록체인응용,,,,3,2,,3,3,,,,사이버보안,,Y,,
179,,38484,,빅데이터보안,,,,3,2,,3,3,,,,사이버보안,,Y,,
180,,38486,,시큐어코딩및실습프로젝트,,,,3,2,,4.5,3,,,,사이버보안,,Y,,
181,,38485,,웹보안및실습,,,,3,2,,4.5,3,,,,사이버보안,,Y,,
182,,38483,,네트워크보안,,,,4,1,,3,3,,,,사이버보안,,,,
183,,38497,,디지털포렌식스,,,,4,1,,3,3,,,,사이버보안,,,,
184,,38493,,보안관제,,,,4,1,,3,3,,,,사이버보안,,,,
185,,38494,,사이버법률과정책,,,,4,1,,3,3,,,,사이버보안,,,,
186,,38490,,생체인증보안,,,,4,1,,3,3,,,,사이버보안,,,,
187,,38492,,위험관리및침입탐지시스템,,,,4,1,,3,3,,,,사이버보안,,,,
188,,38488,,저작권보호와관리,,,,4,1,,3,3,,,,사이버보안,,,,
189,,38499,,모바일보안,,,,4,2,,3,3,,,,사이버보안,,,,
190,,38489,,사이버물리시스템보안,,,,4,2,,3,3,,,,사이버보안,,,,
191,,38909,,사이버보안종합설계프로젝트Ⅱ,,,,4,2,,4.5,3,,,,사이버보안,,Y,,
192,,38919,,알고리즘과계산복잡도,,,,4,2,,3,3,,,,사이버보안,,Y,,
