,HSSU300203R(1971081),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Date :,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2022/10/09
0,,,,,,,,,,,,,,,Page :,,,,,1 of 10
1,2019학년도 교과과정안내,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,엘텍공과대학   학부/학과 : 미래사회공학부   전공 : 건축학   출력구분 : 주전공,,,,,,,,,,,,,,,,,,,
5,졸업학점-신입,,졸업학점-편입,,졸업평균평점,,영어강의이수학점,,,인문학관련교양이수학점,,,,,,SW교과목이수학점,타과인정제한학점,,,심화전공설치여부
6,148,,88.8,,1.7,,18,,,8,,,,,,-,6,,,미설치
7,,,,,,,,,,,,,,,,,,,,
8,구분,"영역명
(학수번호)
*:신설교과목",,교과목명,,,,"이수권장
학년","설정
학기",,시간,학점,"필수
여부","학사
편입생
제외여부",,개설학과,,"2022학년
2학기
개설여부",비고,
9,,,,,,,,,,,,,,,,,,,"(재):재수강인정과목
(선):선수과목
(타):타전공인정교과목",
74,,11107,,21세기의예술과인간,,,,,"1,2",,3,3,,,,이화인문과학원,,Y,,
75,,11164,,Contemporary Photography,,,,,"1,2",,3,3,,,,호크마,,Y,,
76,,10018,,국악의이해,,,,,"1,2",,3,3,,,,한국음악과,,,,
77,,10033,,동양미술의이해,,,,,"1,2",,3,3,,,,미사,,Y,,
78,,10778,,디지털매체와예술,,,,,"1,2",,3,3,,,,디자인학부,,,,
79,,10576,,무용의이해,,,,,"1,2",,3,3,,,,무용과,,Y,,
80,,11153,,문화콘텐츠기획의이해,,,,,"1,2",,3,3,,,,융합콘텐츠,,,,
81,,11328,,미술로치유하는마음,,,,,"1,2",,3,3,,,,조형예술학부,,,,
82,,11083,,미학과미술,,,,,"1,2",,3,3,,,,조형예술학부,,Y,,
83,,11135,,사물과예술,,,,,"1,2",,3,3,,,,조형예술학부,,Y,,
84,,11329,,색채의이해,,,,,"1,2",,3,3,,,,디자인학부,,,,
85,,10072,,서양미술의이해,,,,,"1,2",,3,3,,,,미사,,Y,,
86,,10073,,서양음악의이해,,,,,"1,2",,3,3,,,,작곡과,,Y,,
87,,11084,,시각문화로서미술작품읽기,,,,,"1,2",,3,3,,,,조형예술학부,,,,
88,,10090,,여성과예술,,,,,"1,2",,3,3,,,,미사,,Y,,
