,HSSU300203R(1971081),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Date :,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,2022/10/09
0,,,,,,,,,,,,,,,Page :,,,,,1 of 8
1,2022학년도 교과과정안내,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,
4,엘텍공과대학   학부/학과 : 차세대기술공학부   전공 : 식품생명공학   출력구분 : 주전공,,,,,,,,,,,,,,,,,,,
5,졸업학점-신입,,졸업학점-편입,,졸업평균평점,,영어강의이수학점,,,인문학관련교양이수학점,,,,,,SW교과목이수학점,타과인정제한학점,,,심화전공설치여부
6,137,,68.5,,1.7,,15,,,8,,,,,,6,9,,,미설치
7,,,,,,,,,,,,,,,,,,,,
8,구분,"영역명
(학수번호)
*:신설교과목",,교과목명,,,,"이수권장
학년","설정
학기",,시간,학점,"필수
여부","학사
편입생
제외여부",,개설학과,,"2022학년
2학기
개설여부",비고,
9,,,,,,,,,,,,,,,,,,,"(재):재수강인정과목
(선):선수과목
(타):타전공인정교과목",
262,,38654,,바이오시스템공학이론및실습,,,,,1,,3.5,3,,,,바이오신소재,,,(타),
263,,38655,,종합설계,,,,,2,,4.5,3,,,,바이오신소재,,Y,(타),
264,,G18304,,나노식품공학,,,,,1,,3,3,,,,일대원,,,,
265,,G18319,,식중독세균검출제어학,,,,,1,,3,3,,,,일대원,,,,
266,,G18288,,식품기기분석,,,,,1,,3,3,,,,일대원,,,,
267,,G18314,,미생물분자생물학특론,,,,,2,,3,3,,,,일대원,,,,
268,,G18305,,식품물성학,,,,,2,,3,3,,,,일대원,,,,
269,,G18322,,식품의감각/감성프로필연구방법론,,,,,2,,3,3,,,,일대원,,,,
270,,G18297,,효소공학및생물전환,,,,,2,,3,3,,,,일대원,,,,
271,,,,,,,,,,,,,,,,,,,,
272,[교과과정안내],,,,,,,,,,,,,,,,,,,
273,1. 핵심교양의 융복합교양과목(4과목 12학점 이수)은 5개 영역 중 4개 영역을 선택하여 각 영역별로 1과목(3학점)씩 이수해야 한다.,,,,,,,,,,,,,,,,,,,
274,"2. 석사학위과정 연계 교과목(대학원 개설교과목)은 12학점까지 취득할 수 있으며,
    6학점까지는 학사학위과정 졸업 또는 수료에 필요한 학점에 포함시킬 수 있고,
    나머지 학점은 대학원에 진학할 경우 6학점까지 석사학위과정 수료에 필요한 학점에 포함시킬 수 있다.",,,,,,,,,,,,,,,,,,,
275,3. 타전공(학과)인정 교과목은 최대 9학점까지만 전공학점으로 인정한다.,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,
