,curr_id,standard_name,course_id
104,HSSU300203R,융복합교양(과학과기술),10104
105,HSSU300203R,융복합교양(과학과기술),11336
106,HSSU300203R,융복합교양(과학과기술),11261
107,HSSU300203R,융복합교양(과학과기술),10559
108,HSSU300203R,융복합교양(과학과기술),11156
109,HSSU300203R,융복합교양(과학과기술),11160
110,HSSU300203R,융복합교양(과학과기술),10123
111,HSSU300203R,융복합교양(과학과기술),11096
112,HSSU300203R,융복합교양(과학과기술),10135
113,HSSU300203R,융복합교양(과학과기술),11042
114,HSSU300203R,융복합교양(과학과기술),11152
115,HSSU300203R,융복합교양(과학과기술),11145
116,HSSU300203R,융복합교양(과학과기술),10164
117,HSSU300203R,융복합교양(과학과기술),11157
118,HSSU300203R,융복합교양(과학과기술),11262
119,HSSU300203R,융복합교양(과학과기술),11264
120,HSSU300203R,융복합교양(과학과기술),11043
121,HSSU300203R,융복합교양(과학과기술),11419
122,HSSU300203R,융복합교양(과학과기술),11187
123,HSSU300203R,융복합교양(과학과기술),11098
124,HSSU300203R,융복합교양(예술과표현),11107
125,HSSU300203R,융복합교양(예술과표현),11164
126,HSSU300203R,융복합교양(예술과표현),10033
127,HSSU300203R,융복합교양(예술과표현),10778
128,HSSU300203R,융복합교양(예술과표현),10576
129,HSSU300203R,융복합교양(예술과표현),11153
130,HSSU300203R,융복합교양(예술과표현),11328
131,HSSU300203R,융복합교양(예술과표현),11083
132,HSSU300203R,융복합교양(예술과표현),10072
133,HSSU300203R,융복합교양(예술과표현),10073
134,HSSU300203R,융복합교양(예술과표현),11084
135,HSSU300203R,융복합교양(예술과표현),11209
136,HSSU300203R,융복합교양(예술과표현),10090
137,HSSU300203R,융복합교양(예술과표현),11113
138,HSSU300203R,융복합교양(예술과표현),10097
139,HSSU300203R,융복합교양(예술과표현),11110
140,HSSU300203R,융복합교양(예술과표현),10100
141,HSSU300203R,융복합교양(예술과표현),11055
142,HSSU300203R,융복합교양(예술과표현),11265
143,HSSU300203R,융복합교양(예술과표현),11075
144,HSSU300203R,융복합교양(예술과표현),11035
145,HSSU300203R,융복합교양(예술과표현),10892
146,HSSU300203R,융복합교양(예술과표현),10152
147,HSSU300203R,융복합교양(예술과표현),11333
148,HSSU300203R,융복합교양(예술과표현),10883
149,HSSU300203R,융복합교양(예술과표현),10165
150,HSSU300203R,융복합교양(예술과표현),11330
151,HSSU300203R,융복합교양(예술과표현),10018
152,HSSU300203R,융복합교양(예술과표현),11329
153,HSSU300203R,융복합교양(예술과표현),11263
154,HSSU300203R,큐브(콘텐츠),11164
155,HSSU300203R,큐브(콘텐츠),11101
156,HSSU300203R,큐브(콘텐츠),10949
157,HSSU300203R,큐브(콘텐츠),10776
158,HSSU300203R,큐브(콘텐츠),11154
159,HSSU300203R,큐브(콘텐츠),10908
160,HSSU300203R,큐브(콘텐츠),10559
161,HSSU300203R,큐브(콘텐츠),11160
162,HSSU300203R,큐브(콘텐츠),10135
163,HSSU300203R,큐브(콘텐츠),10950
164,HSSU300203R,큐브(콘텐츠),11285
165,HSSU300203R,큐브(콘텐츠),11288
166,HSSU300203R,큐브(콘텐츠),11187
167,HSSU300203R,큐브(콘텐츠),11286
168,HSSU300203R,큐브(콘텐츠),11287
169,HSSU300203R,큐브(디자인),11107
170,HSSU300203R,큐브(디자인),10778
171,HSSU300203R,큐브(디자인),11083
172,HSSU300203R,큐브(디자인),10072
173,HSSU300203R,큐브(디자인),10090
174,HSSU300203R,큐브(디자인),10165
175,HSSU300203R,큐브(디자인),11289
176,HSSU300203R,큐브(디자인),11135
177,HSSU300203R,-전공기초(필수),38559
178,HSSU300203R,-전공기초(필수),20410
179,HSSU300203R,-전공기초(필수),36341
180,HSSU300203R,-전공기초(필수),36339
181,HSSU300203R,-전공기초(필수),34980
182,HSSU300203R,-전공기초(필수),38412
183,HSSU300203R,-전공기초(필수),20642
184,HSSU300203R,-전공기초(선택필1),30001
185,HSSU300203R,-전공기초(선택필1),20409
186,HSSU300203R,-전공기초(선택필1),20412
187,HSSU300203R,-전공기초(선택필1),20413
188,HSSU300203R,-전공기초(선택필1),20406
189,HSSU300203R,-전공선택,38558
190,HSSU300203R,-전공선택,38565
191,HSSU300203R,-전공선택,38657
192,HSSU300203R,-전공선택,38658
193,HSSU300203R,-전공선택,38573
194,HSSU300203R,-전공선택,38586
195,HSSU300203R,-전공선택,38594
196,HSSU300203R,-전공선택,38583
197,HSSU300203R,-전공선택,38566
198,HSSU300203R,-전공선택,38659
199,HSSU300203R,-전공선택,38591
200,HSSU300203R,-전공선택,38571
201,HSSU300203R,-전공선택,38596
202,HSSU300203R,-전공선택,38567
203,HSSU300203R,-전공선택,38601
204,HSSU300203R,-전공선택,38598
205,HSSU300203R,-전공선택,38607
206,HSSU300203R,-전공선택,38588
207,HSSU300203R,-전공선택,38606
208,HSSU300203R,-전공선택,37455
209,HSSU300203R,-전공선택,38616
210,HSSU300203R,-전공선택,38617
211,HSSU300203R,-전공선택,38618
212,HSSU300203R,-전공선택,38619
213,HSSU300203R,-전공선택,38620
214,HSSU300203R,-전공선택,38621
215,HSSU300203R,-전공선택,38890
216,HSSU300203R,-전공선택,38891
217,HSSU300203R,-전공선택,38892
218,HSSU300203R,-전공선택,38893
219,HSSU300203R,-전공선택,39191
220,HSSU300203R,-전공선택,37710
221,HSSU300203R,-전공선택,34229
222,HSSU300203R,-전공선택,32866
223,HSSU300203R,-전공선택,37119
224,HSSU300203R,-전공선택,37694
225,HSSU300203R,-전공선택,38653
226,HSSU300203R,-전공선택,37842
227,HSSU300203R,-전공선택,G18189
228,HSSU300203R,-전공선택,G17953
229,HSSU300203R,-전공선택,G18132
230,HSSU300203R,-전공선택,G17565
231,HSSU300203R,-전공선택,G18136
232,HSSU300203R,-전공선택,G18133
233,HSSU300203R,-전공선택,G17650
